"TAN-F"	"RAN-B"	"FAR-F"	"SJA-F"	"SON-F"	"TYB-F"	"POL-BF"	"ROS-B"	"KET-B"	"NAK-B"	"KAR-B"	"ISH-B"
"TAN-F"	0	2042016	2036841	2003761	2063809	2046905	2043546	2046999	2013419	2031516	1945184	2043715
"RAN-B"	0.174919	0	2077660	2039151	2116023	2092198	2091727	2092627	2050854	2080644	1972134	2094306
"FAR-F"	0.313262	0.339476	0	2109511	2156254	2121399	2115911	2202017	2104821	2189039	1950145	2111262
"SJA-F"	0.356645	0.363321	0.370739	0	2098751	2068347	2066967	2133480	2060501	2121494	1934461	2061423
"SON-F"	0.305249	0.315323	0.331398	0.343991	0	2166904	2158862	2180285	2100856	2164930	1987290	2157604
"TYB-F"	0.250063	0.283494	0.285388	0.316601	0.262021	0	2127035	2143647	2071929	2126565	1976643	2131751
"POL-BF"	0.295727	0.275259	0.319433	0.348447	0.292414	0.268222	0	2135501	2074804	2125362	1974264	2129440
"ROS-B"	0.260731	0.269815	0.309637	0.338646	0.246862	0.217283	0.255818	0	2122429	2238410	1962105	2130468
"KET-B"	0.35451	0.327473	0.38006	0.393521	0.347922	0.323163	0.315663	0.324914	0	2112037	1952972	2072330
"NAK-B"	0.276836	0.257315	0.303971	0.324885	0.282999	0.237583	0.24269	0.22192	0.282335	0	1956435	2124525
"KAR-B"	0.269044	0.245394	0.302387	0.321945	0.284724	0.228724	0.234409	0.22652	0.282745	0.100385	0	1983088
"ISH-B"	0.276725	0.262107	0.30688	0.320445	0.279751	0.237274	0.238381	0.224433	0.279881	0.113827	0.090693	0
