"TAN-F"	"RAN-B"	"FAR-F"	"SJA-F"	"SON-F"	"TYB-F"	"POL-BF"	"ROS-B"	"KET-B"	"NAK-B"	"KAR-B"	"ISH-B"
"TAN-F"	0	0.174919	0.313262	0.356645	0.305249	0.250063	0.295727	0.260731	0.35451	0.276836	0.269044	0.276725
"RAN-B"	0.174919	0	0.339476	0.363321	0.315323	0.283494	0.275259	0.269815	0.327473	0.257315	0.245394	0.262107
"FAR-F"	0.313262	0.339476	0	0.370739	0.331398	0.285388	0.319433	0.309637	0.38006	0.303971	0.302387	0.30688
"SJA-F"	0.356645	0.363321	0.370739	0	0.343991	0.316601	0.348447	0.338646	0.393521	0.324885	0.321945	0.320445
"SON-F"	0.305249	0.315323	0.331398	0.343991	0	0.262021	0.292414	0.246862	0.347922	0.282999	0.284724	0.279751
"TYB-F"	0.250063	0.283494	0.285388	0.316601	0.262021	0	0.268222	0.217283	0.323163	0.237583	0.228724	0.237274
"POL-BF"	0.295727	0.275259	0.319433	0.348447	0.292414	0.268222	0	0.255818	0.315663	0.24269	0.234409	0.238381
"ROS-B"	0.260731	0.269815	0.309637	0.338646	0.246862	0.217283	0.255818	0	0.324914	0.22192	0.22652	0.224433
"KET-B"	0.35451	0.327473	0.38006	0.393521	0.347922	0.323163	0.315663	0.324914	0	0.282335	0.282745	0.279881
"NAK-B"	0.276836	0.257315	0.303971	0.324885	0.282999	0.237583	0.24269	0.22192	0.282335	0	0.100385	0.113827
"KAR-B"	0.269044	0.245394	0.302387	0.321945	0.284724	0.228724	0.234409	0.22652	0.282745	0.100385	0	0.090693
"ISH-B"	0.276725	0.262107	0.30688	0.320445	0.279751	0.237274	0.238381	0.224433	0.279881	0.113827	0.090693	0
